Date,Station,pH,Temperature,Dissolved_Oxygen,Turbidity,BOD,River_Health
2025-01-01,Haridwar,6.7,24,5.3,2,1.8,Warning
2025-01-02,Rishikesh,7.2,31,6.6,17,3.4,Critical
2025-01-03,Kanpur,6.0,33,3.0,3,7.1,Critical
2025-01-04,Prayagraj,6.0,23,9.1,19,11.4,Critical
2025-01-05,Varanasi,7.4,32,2.8,8,1.5,Warning
2025-01-06,Patna,8.1,29,5.4,18,2.3,Warning
2025-01-07,Bhagalpur,6.6,25,3.2,19,8.0,Critical
2025-01-08,Kolkata,6.8,22,6.5,20,3.3,Critical
2025-01-09,Haridwar,7.6,33,7.9,15,7.4,Warning
2025-01-10,Rishikesh,7.0,29,4.2,6,8.7,Critical
2025-01-11,Kanpur,6.5,29,6.2,11,9.0,Critical
2025-01-12,Prayagraj,6.6,22,3.3,14,2.8,Critical
2025-01-13,Varanasi,6.7,35,5.5,3,9.4,Critical
2025-01-14,Patna,7.3,30,4.9,12,7.5,Critical
2025-01-15,Bhagalpur,7.4,34,3.0,3,11.4,Warning
2025-01-16,Kolkata,7.1,22,2.9,10,8.1,Critical
2025-01-17,Haridwar,8.5,34,4.5,13,10.8,Critical
2025-01-18,Rishikesh,6.7,34,5.0,20,2.3,Critical
2025-01-19,Kanpur,6.0,29,3.4,8,5.4,Critical
2025-01-20,Prayagraj,8.3,35,3.1,15,5.4,Critical
2025-01-21,Varanasi,6.6,24,8.2,18,4.1,Critical
2025-01-22,Patna,6.9,31,7.3,13,11.5,Warning
2025-01-23,Bhagalpur,6.2,25,3.6,8,1.1,Critical
2025-01-24,Kolkata,8.0,25,4.3,1,2.6,Healthy
2025-01-25,Haridwar,7.2,30,9.2,17,11.5,Warning
2025-01-26,Rishikesh,7.6,21,5.7,18,5.3,Critical
2025-01-27,Kanpur,6.9,23,5.9,13,1.7,Warning
2025-01-28,Prayagraj,6.0,26,5.6,4,4.7,Critical
2025-01-29,Varanasi,5.9,20,6.5,18,2.1,Critical
2025-01-30,Patna,6.8,20,3.0,7,7.8,Critical
2025-01-31,Bhagalpur,6.2,28,9.2,20,5.0,Critical
2025-02-01,Kolkata,6.1,35,9.5,15,6.3,Critical
2025-02-02,Haridwar,6.6,24,3.2,11,9.1,Critical
2025-02-03,Rishikesh,7.1,25,6.1,7,11.5,Critical
2025-02-04,Kanpur,7.2,24,7.3,1,9.3,Healthy
2025-02-05,Prayagraj,6.6,22,7.4,9,6.7,Critical
2025-02-06,Varanasi,8.3,31,7.9,18,7.0,Critical
2025-02-07,Patna,7.2,27,6.8,7,9.9,Critical
2025-02-08,Bhagalpur,8.0,27,3.9,16,4.9,Critical
2025-02-09,Kolkata,5.9,20,8.0,16,3.9,Critical
2025-02-10,Haridwar,7.7,31,5.6,12,11.5,Critical
2025-02-11,Rishikesh,6.8,27,3.2,16,3.2,Critical
2025-02-12,Kanpur,6.4,20,5.9,12,9.8,Critical
2025-02-13,Prayagraj,6.0,23,8.9,7,6.3,Critical
2025-02-14,Varanasi,6.3,30,3.1,13,6.1,Critical
2025-02-15,Patna,7.8,22,7.6,6,11.9,Warning
2025-02-16,Bhagalpur,5.9,34,8.1,5,7.7,Warning
2025-02-17,Kolkata,7.4,35,7.1,12,2.7,Healthy
2025-02-18,Haridwar,7.3,20,2.6,4,6.8,Warning
2025-02-19,Rishikesh,8.3,33,9.4,7,10.1,Critical
2025-02-20,Kanpur,6.4,28,4.0,17,3.6,Critical
2025-02-21,Prayagraj,7.4,28,6.3,5,1.7,Healthy
2025-02-22,Varanasi,7.8,34,7.1,17,5.6,Warning
2025-02-23,Patna,8.3,24,6.2,17,6.6,Critical
2025-02-24,Bhagalpur,8.2,25,6.8,5,2.9,Healthy
2025-02-25,Kolkata,7.1,23,6.4,11,8.5,Critical
2025-02-26,Haridwar,7.2,35,8.0,4,10.7,Healthy
2025-02-27,Rishikesh,6.0,26,4.4,4,6.6,Critical
2025-02-28,Kanpur,7.3,22,5.6,20,11.7,Critical
2025-03-01,Prayagraj,7.4,26,7.3,15,6.6,Warning
2025-03-02,Varanasi,8.0,27,7.4,9,11.2,Warning
2025-03-03,Patna,8.2,26,8.4,5,5.6,Healthy
2025-03-04,Bhagalpur,6.9,30,3.0,8,5.7,Critical
2025-03-05,Kolkata,6.4,29,8.0,5,11.3,Warning
2025-03-06,Haridwar,7.5,31,3.5,5,11.6,Warning
2025-03-07,Rishikesh,6.4,23,5.3,16,2.8,Critical
2025-03-08,Kanpur,7.6,27,3.6,14,11.9,Critical
2025-03-09,Prayagraj,6.9,33,3.9,11,2.0,Warning
2025-03-10,Varanasi,6.8,30,6.4,15,8.7,Critical
